ID,CHURNRISK,GENDER,STATUS,CHILDREN,ESTINCOME,HOMEOWNER,AGE,TOTALDOLLARVALUETRADED,TOTALUNITSTRADED,LARGESTSINGLETRANSACTION,SMALLESTSINGLETRANSACTION,PERCENTCHANGECALCULATION,DAYSSINCELASTLOGIN,DAYSSINCELASTTRADE,NETREALIZEDGAINS_YTD
33,High,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,1,19,0.0
34,Low,F,M,0,72642.6,N,28,18661.87,20,9330.935,933.0935,5.0,1,10,933.0935
35,High,F,S,0,98716.3,N,56,20972.1,13,10486.05,1048.605,3.25,2,7,0.0
36,Low,F,S,2,66182.7,Y,62,11701.17,47,5850.585,585.0585,11.75,3,5,585.0585
37,High,F,M,2,84789.3,N,50,14221.42,10,7110.71,711.071,2.5,4,10,0.0
38,High,F,M,2,35976.5,Y,49,18851.89,31,9425.945,942.5945,7.75,1,9,0.0
39,Low,F,M,0,32703.1,Y,65,16801.68,56,8400.84,840.084,14.0,4,8,840.084
40,Low,F,M,1,77129.1,Y,62,24772.48,20,12386.24,1238.624,5.0,4,5,1238.624
41,Low,F,M,2,8204.72,N,53,15591.56,24,7795.78,779.578,6.0,1,10,779.578
42,High,M,M,1,97180.4,N,51,8210.82,45,2052.705,205.2705,6.75,5,15,0.0
43,Medium,F,M,0,80405.1,N,60,2910.29,17,727.5725,72.75725,2.55,1,13,0.0
44,Low,F,S,2,38280.0,N,34,11641.16,74,5820.58,582.058,18.5,2,5,582.058
45,High,M,S,0,64136.6,Y,61,16211.62,125,8105.81,810.581,31.25,4,8,0.0
46,High,F,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,3,9,0.0
47,High,F,S,0,25285.5,N,54,9370.94,11,2342.735,234.2735,1.65,4,18,0.0
48,High,F,M,2,77551.1,Y,34,20532.05,41,10266.025,1026.6025,10.25,5,5,0.0
49,Medium,F,M,0,38538.4,N,12,22862.29,16,11431.145,1143.1145,4.0,1,10,0.0
50,High,F,S,0,69350.5,Y,57,1900.19,25,475.0475,47.50475,3.75,3,19,0.0
51,Low,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,5,10,1472.147
52,High,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,2,7,0.0
53,Low,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,5,5,802.08
54,High,F,S,2,21021.6,Y,63,1000.1,11,250.025,25.0025,1.65,1,20,0.0
55,Low,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,3,5,1276.6275
56,Low,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,1,10,1398.64
57,Low,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,1,8,1139.614
58,Low,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,1,8,1493.1495
59,High,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,5,7,0.0
60,High,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,5,15,0.0
61,High,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,2,5,0.0
62,High,F,S,2,83073.7,N,40,0.0,0,0.0,0.0,0.0,0,0,0.0
63,Medium,M,M,2,42750.3,Y,50,20592.06,112,10296.03,1029.603,28.0,1,8,1029.603
64,High,F,S,2,2842.55,N,46,0.0,0,0.0,0.0,0.0,0,0,0.0
65,High,M,M,2,22358.1,N,53,15541.55,12,7770.775,777.0775,3.0,2,9,0.0
66,Medium,M,M,0,47870.8,Y,27,2000.2,12,500.05,50.005,1.8,1,11,0.0
67,Low,F,S,2,6440.46,Y,53,22662.27,27,11331.135,1133.1135,6.75,3,8,1133.1135
68,High,F,S,0,7325.5,N,37,28522.85,161,14261.425,1426.1425,40.25,3,8,0.0
69,High,M,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,5,16,0.0
70,Low,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,4,8,1349.635
71,High,M,S,0,65000.0,Y,46,11631.16,115,5815.58,581.558,28.75,5,8,0.0
72,Low,M,M,2,1406.05,Y,19,11551.16,15,5775.58,577.558,3.75,5,9,577.558
73,Low,F,S,0,73228.3,N,62,22472.25,28,11236.125,1123.6125,7.0,4,5,1123.6125
74,Medium,F,S,2,76231.9,N,64,2010.2,150,502.55,50.255,22.5,3,13,0.0
75,High,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,1,9,0.0
76,Low,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,1,7,1496.1495
77,Medium,M,M,1,63437.3,N,64,680.07,10,170.0175,17.00175,1.5,2,10,0.0
78,High,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,5,10,0.0
79,Low,M,M,0,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,2,10,598.06
80,Low,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,2,9,800.58
81,High,F,S,1,12686.0,N,65,23232.32,80,11616.16,1161.616,20.0,3,10,0.0
82,Low,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,2,5,518.052
83,Medium,M,M,0,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,2,10,0.0
84,High,M,M,1,60102.7,N,42,9840.98,62,2460.245,246.0245,9.3,1,20,0.0
85,Low,F,M,2,17888.7,N,55,29412.94,332,14706.47,1470.647,83.0,2,6,1470.647
86,High,F,S,1,12526.3,N,54,11721.17,28,5860.585,586.0585,7.0,2,10,0.0
87,Low,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,1,10,595.5595
88,High,M,M,0,78572.2,Y,42,21812.18,29,10906.09,1090.609,7.25,5,8,0.0
89,High,F,M,2,48238.8,N,35,23282.33,168,11641.165,1164.1165,42.0,4,6,0.0
90,High,F,M,0,28770.9,N,12,27992.8,16,13996.4,1399.64,4.0,2,5,0.0
91,Medium,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,5,12,0.0
92,Low,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,4,10,1297.1295
93,High,F,S,2,76791.2,N,61,20712.07,23,10356.035,1035.6035,5.75,5,5,0.0
94,High,F,D,0,30763.8,Y,14,21322.13,35,10661.065,1066.1065,8.75,1,8,0.0
95,High,F,M,2,3193.6,N,54,4190.42,114,1047.605,104.7605,17.1,4,16,0.0
96,Medium,M,M,1,69680.9,N,16,7670.77,32,1917.6925,191.76925,4.8,1,10,0.0
97,High,F,M,0,83287.0,N,45,29642.96,90,14821.48,1482.148,22.5,3,7,0.0
98,Low,M,S,0,2056.06,Y,19,24072.41,27,12036.205,1203.6205,6.75,3,9,1203.6205
99,High,F,M,2,7776.6,N,36,25872.59,68,12936.295,1293.6295,17.0,5,7,0.0
100,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,3,6,762.5765
101,High,M,S,0,66666.0,N,52,4580.46,8,1145.115,114.5115,1.2,2,18,0.0
102,Medium,F,M,2,69343.3,N,42,6360.64,15,1590.16,159.016,2.25,1,12,0.0
309,Medium,M,M,1,39229.1,N,26,28822.88,13,14411.44,1441.144,3.25,4,8,0.0
310,Low,F,D,1,68427.4,N,42,23762.38,50,11881.19,1188.119,12.5,3,6,1188.119
311,Medium,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,3,12,0.0
312,Medium,F,S,0,98716.3,N,56,20972.1,13,10486.05,1048.605,3.25,4,9,1048.605
313,High,F,S,2,66182.7,Y,62,11701.17,47,5850.585,585.0585,11.75,3,7,0.0
314,Low,F,S,2,84789.3,N,50,14221.42,10,7110.71,711.071,2.5,1,9,711.071
315,Low,F,M,2,35976.5,Y,49,18851.89,31,9425.945,942.5945,7.75,4,6,942.5945
316,Low,F,M,0,32703.1,Y,65,16801.68,56,8400.84,840.084,14.0,3,5,840.084
317,High,F,M,2,8204.72,N,53,15591.56,24,7795.78,779.578,6.0,3,9,0.0
318,Medium,M,M,1,97180.4,N,51,8210.82,45,2052.705,205.2705,6.75,3,13,0.0
319,Low,F,S,2,38280.0,N,34,11641.16,74,5820.58,582.058,18.5,1,6,582.058
320,Low,M,S,0,64136.6,Y,61,16211.62,125,8105.81,810.581,31.25,5,5,810.581
321,High,F,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,2,9,0.0
322,Medium,F,S,0,25285.5,N,54,9370.94,11,2342.735,234.2735,1.65,2,10,0.0
323,High,F,M,2,77551.1,Y,34,20532.05,41,10266.025,1026.6025,10.25,2,10,0.0
324,High,F,M,0,38538.4,N,12,22862.29,16,11431.145,1143.1145,4.0,4,5,0.0
325,Medium,F,S,0,69350.5,Y,57,1900.19,25,475.0475,47.50475,3.75,3,13,0.0
326,Low,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,1,5,1472.147
327,High,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,5,8,0.0
328,High,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,3,9,0.0
329,Medium,M,S,2,21021.6,Y,63,3750.38,11,937.595,93.7595,1.65,1,14,0.0
330,High,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,4,8,0.0
331,Low,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,1,9,1398.64
332,Low,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,4,6,1139.614
333,High,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,5,8,0.0
334,Medium,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,1,5,0.0
335,High,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,2,20,0.0
336,High,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,4,8,0.0
337,Low,M,M,2,42750.3,Y,50,20592.06,112,10296.03,1029.603,28.0,2,7,1029.603
338,High,F,S,2,2842.55,N,46,0.0,0,0.0,0.0,0.0,0,0,0.0
339,High,M,M,2,22358.1,N,53,15541.55,12,7770.775,777.0775,3.0,4,5,0.0
340,High,M,M,0,47870.8,Y,27,2000.2,12,500.05,50.005,1.8,4,17,0.0
341,Low,F,S,2,6440.46,Y,41,22662.27,27,11331.135,1133.1135,6.75,5,7,1133.1135
342,Low,F,S,0,7325.5,N,37,28522.85,161,14261.425,1426.1425,40.25,3,9,1426.1425
343,High,M,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,1,19,0.0
344,High,M,M,1,5252.29,N,16,2650.27,17,662.5675,66.25675,2.55,4,17,0.0
345,High,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,1,6,0.0
346,Low,M,S,0,69000.0,Y,52,11631.16,115,5815.58,581.558,28.75,3,5,581.558
347,Low,M,M,2,1406.05,Y,19,11551.16,15,5775.58,577.558,3.75,3,6,577.558
348,High,F,S,0,73228.3,N,43,22472.25,28,11236.125,1123.6125,7.0,5,9,0.0
349,Medium,F,S,2,76231.9,N,64,2010.2,150,502.55,50.255,22.5,2,15,0.0
350,High,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,4,8,0.0
351,Low,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,3,9,1496.1495
352,High,M,M,1,63437.3,N,64,680.07,10,170.0175,17.00175,1.5,1,18,0.0
353,High,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,1,6,0.0
354,High,M,M,0,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,3,8,0.0
355,High,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,3,7,0.0
356,High,F,S,1,12686.0,N,65,23232.32,80,11616.16,1161.616,20.0,5,7,0.0
357,Medium,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,3,10,0.0
358,Low,M,M,1,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,3,7,1471.647
359,High,M,M,1,60102.7,N,42,9840.98,62,2460.245,246.0245,9.3,1,15,0.0
360,Low,F,M,2,17888.7,N,43,29412.94,332,14706.47,1470.647,83.0,3,5,1470.647
361,High,F,S,1,12526.3,N,54,11721.17,28,5860.585,586.0585,7.0,1,7,0.0
362,Low,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,4,6,595.5595
363,Low,M,M,0,78572.2,Y,42,21812.18,29,10906.09,1090.609,7.25,1,9,1090.609
364,High,M,M,1,3933.74,N,18,9750.98,47,2437.745,243.7745,7.05,5,15,0.0
365,High,F,M,2,48238.8,N,35,23282.33,168,11641.165,1164.1165,42.0,2,10,0.0
366,High,F,M,0,28770.9,N,12,27992.8,16,13996.4,1399.64,4.0,1,9,0.0
367,High,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,4,17,0.0
368,High,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,5,10,0.0
369,High,F,S,2,76791.2,N,47,20712.07,23,10356.035,1035.6035,5.75,1,6,0.0
370,High,F,S,0,30763.8,Y,14,21322.13,35,10661.065,1066.1065,8.75,5,5,0.0
371,High,F,M,2,3193.6,N,54,4190.42,114,1047.605,104.7605,17.1,1,16,0.0
372,Low,F,M,0,83287.0,N,56,29642.96,90,14821.48,1482.148,22.5,2,6,1482.148
373,Low,M,S,1,2056.06,Y,19,24072.41,27,12036.205,1203.6205,6.75,3,10,1203.6205
580,Medium,F,S,1,7737.94,N,43,11051.11,50,5525.555,552.5555,12.5,5,5,0.0
581,High,M,S,2,120000.0,N,42,21372.14,293,10686.07,1068.607,73.25,5,5,0.0
582,High,F,M,2,45287.6,Y,29,0.0,0,0.0,0.0,0.0,0,0,0.0
583,Low,F,M,2,59613.1,N,34,12371.24,163,6185.62,618.562,40.75,1,7,618.562
584,High,F,S,1,16326.7,N,51,0.0,0,0.0,0.0,0.0,0,0,0.0
585,Low,F,S,2,9559.78,N,51,18311.83,59,9155.915,915.5915,14.75,4,8,915.5915
586,High,F,M,2,42031.8,N,51,20452.05,39,10226.025,1022.6025,9.75,3,7,0.0
587,High,F,M,2,83284.1,Y,28,26912.69,9,13456.345,1345.6345,2.25,1,9,0.0
588,High,M,M,1,39229.1,N,26,28822.88,13,14411.44,1441.144,3.25,1,7,0.0
589,High,F,D,1,68427.4,N,42,23762.38,50,11881.19,1188.119,12.5,3,5,0.0
590,Medium,M,S,0,3601.71,N,49,9570.96,111,2392.74,239.274,16.65,3,11,0.0
591,Low,F,S,0,98716.3,N,56,20972.1,13,10486.05,1048.605,3.25,5,7,1048.605
592,Low,F,S,2,66182.7,Y,62,11701.17,47,5850.585,585.0585,11.75,1,7,585.0585
593,Low,F,M,2,84789.3,N,50,14221.42,10,7110.71,711.071,2.5,3,10,711.071
594,Low,F,M,2,35976.5,Y,49,18851.89,31,9425.945,942.5945,7.75,1,8,942.5945
595,High,F,M,0,32703.1,Y,65,16801.68,56,8400.84,840.084,14.0,4,6,0.0
596,Low,F,M,2,8204.72,N,53,15591.56,24,7795.78,779.578,6.0,2,7,779.578
597,High,M,M,1,97180.4,N,51,8210.82,45,2052.705,205.2705,6.75,3,19,0.0
598,High,F,M,0,80405.1,N,60,2910.29,17,727.5725,72.75725,2.55,2,16,0.0
599,High,F,S,2,38280.0,N,34,11641.16,74,5820.58,582.058,18.5,5,10,0.0
600,High,M,S,0,64136.6,Y,61,16211.62,125,8105.81,810.581,31.25,1,9,0.0
601,Low,F,M,2,45429.7,Y,62,24702.47,73,12351.235,1235.1235,18.25,4,9,1235.1235
602,High,F,S,0,25285.5,N,54,9370.94,11,2342.735,234.2735,1.65,2,19,0.0
603,High,F,M,2,77551.1,Y,34,20532.05,41,10266.025,1026.6025,10.25,5,9,0.0
604,Low,F,M,0,38538.4,N,12,22862.29,16,11431.145,1143.1145,4.0,3,7,1143.1145
605,Medium,M,M,0,92881.8,N,21,2150.22,85,537.555,53.7555,12.75,3,12,0.0
606,Medium,M,S,2,43634.5,N,22,29442.94,104,14721.47,1472.147,26.0,3,8,0.0
607,High,F,S,1,13109.1,N,63,22382.24,40,11191.12,1119.112,10.0,1,7,0.0
608,High,M,S,1,92647.5,N,56,16041.6,10,8020.8,802.08,2.5,2,6,0.0
609,High,M,S,2,21021.6,Y,63,2000.2,11,500.05,50.005,1.65,1,19,0.0
610,Low,M,S,0,74460.7,Y,55,25532.55,179,12766.275,1276.6275,44.75,4,6,1276.6275
611,Low,F,S,2,28787.4,N,42,27972.8,58,13986.4,1398.64,14.5,2,6,1398.64
612,Low,M,M,1,13091.6,N,59,22792.28,20,11396.14,1139.614,5.0,3,7,1139.614
613,Low,F,M,2,62061.8,Y,46,29862.99,52,14931.495,1493.1495,13.0,1,5,1493.1495
614,Low,F,M,1,20550.9,Y,22,27722.77,57,13861.385,1386.1385,14.25,5,5,1386.1385
615,Medium,M,M,2,1765.41,N,19,3040.3,44,760.075,76.0075,6.6,4,14,0.0
616,Low,F,S,2,19131.1,N,56,22152.22,34,11076.11,1107.611,8.5,2,8,1107.611
617,High,M,M,2,42750.3,Y,50,20592.06,112,10296.03,1029.603,28.0,1,8,0.0
618,High,F,S,2,2842.55,N,46,0.0,0,0.0,0.0,0.0,0,0,0.0
619,High,M,M,2,22358.1,N,53,15541.55,12,7770.775,777.0775,3.0,3,5,0.0
620,High,M,M,0,47870.8,Y,27,2000.2,12,500.05,50.005,1.8,2,15,0.0
621,Low,F,S,2,6440.46,Y,43,22662.27,27,11331.135,1133.1135,6.75,2,9,1133.1135
622,Low,F,S,0,7325.5,N,37,28522.85,161,14261.425,1426.1425,40.25,3,5,1426.1425
623,High,M,M,2,28766.9,N,47,6110.61,58,1527.6525,152.76525,8.7,3,18,0.0
624,Medium,M,S,0,72928.2,N,39,7450.75,196,1862.6875,186.26875,29.4,2,11,0.0
625,Low,M,M,2,91272.2,Y,25,26992.7,13,13496.35,1349.635,3.25,4,7,1349.635
626,Low,M,S,0,65000.0,Y,52,11631.16,115,5815.58,581.558,28.75,2,6,581.558
627,High,M,M,2,1406.05,Y,19,11551.16,15,5775.58,577.558,3.75,4,9,0.0
628,High,F,S,0,73228.3,N,46,22472.25,28,11236.125,1123.6125,7.0,4,5,0.0
629,Medium,F,S,2,76231.9,N,64,2010.2,150,502.55,50.255,22.5,1,10,0.0
630,Low,M,M,1,64792.3,N,52,13051.31,36,6525.655,652.5655,9.0,2,8,652.5655
631,Low,F,S,0,93322.1,Y,40,29922.99,8,14961.495,1496.1495,2.0,2,6,1496.1495
632,High,M,M,1,63437.3,N,64,680.07,10,170.0175,17.00175,1.5,3,17,0.0
633,Low,M,M,2,49910.7,Y,52,27422.74,23,13711.37,1371.137,5.75,5,8,1371.137
634,High,M,M,1,76161.4,Y,45,11961.2,25,5980.6,598.06,6.25,2,9,0.0
635,High,F,M,2,55860.0,Y,15,16011.6,10,8005.8,800.58,2.5,2,7,0.0
636,High,F,S,1,12686.0,N,65,23232.32,80,11616.16,1161.616,20.0,5,10,0.0
637,Medium,M,M,2,57360.8,Y,53,10361.04,57,5180.52,518.052,14.25,1,6,0.0
638,Low,M,M,0,92414.7,Y,46,29432.94,10,14716.47,1471.647,2.5,5,5,1471.647
639,High,M,M,0,60102.7,N,42,9840.98,62,2460.245,246.0245,9.3,4,15,0.0
640,High,F,M,2,17888.7,N,53,29412.94,332,14706.47,1470.647,83.0,1,8,0.0
641,Low,F,S,1,12526.3,N,54,11721.17,28,5860.585,586.0585,7.0,4,7,586.0585
642,High,F,S,2,14578.8,Y,61,11911.19,95,5955.595,595.5595,23.75,3,5,0.0
643,High,M,M,0,78572.2,Y,42,21812.18,29,10906.09,1090.609,7.25,4,7,0.0
644,Medium,M,M,1,3933.74,N,18,9750.98,47,2437.745,243.7745,7.05,5,10,0.0
645,Low,F,M,2,48238.8,N,35,23282.33,168,11641.165,1164.1165,42.0,1,6,1164.1165
646,Low,F,M,0,28770.9,N,12,27992.8,16,13996.4,1399.64,4.0,1,5,1399.64
647,Medium,F,M,2,87578.2,Y,53,290.03,22,72.5075,7.25075,3.3,1,15,0.0
648,Low,F,M,2,86695.4,N,14,25942.59,32,12971.295,1297.1295,8.0,5,8,1297.1295
649,High,F,S,2,76791.2,N,43,20712.07,23,10356.035,1035.6035,5.75,2,9,0.0
650,Low,F,S,1,30763.8,Y,14,21322.13,35,10661.065,1066.1065,8.75,3,10,1066.1065
651,High,F,M,2,3193.6,N,54,4190.42,114,1047.605,104.7605,17.1,2,15,0.0
652,Medium,M,M,1,69680.9,N,16,7670.77,32,1917.6925,191.76925,4.8,5,12,0.0
653,Low,F,M,0,77000.0,N,63,29642.96,90,14821.48,1482.148,22.5,1,7,1482.148
654,High,M,D,0,2056.06,Y,19,24072.41,27,12036.205,1203.6205,6.75,2,10,0.0
655,Low,F,M,2,7776.6,N,36,25872.59,68,12936.295,1293.6295,17.0,2,6,1293.6295
656,Low,M,M,1,2067.82,N,48,15251.53,70,7625.765,762.5765,17.5,3,9,762.5765
657,Medium,M,S,0,78000.0,N,46,4580.46,8,1145.115,114.5115,1.2,5,11,0.0
658,Medium,F,M,2,69343.3,N,42,6360.64,15,1590.16,159.016,2.25,5,15,0.0
659,Medium,F,M,0,83287.0,N,42,570.06,23,142.515,14.2515,3.45,5,15,0.0
660,High,F,M,0,14932.5,N,70,4910.49,6,1227.6225,122.76225,0.9,4,17,0.0
661,High,F,S,0,27498.1,N,70,2200.22,9,550.055,55.0055,1.35,4,19,0.0
662,High,F,M,2,21419.9,N,60,26392.64,103,13196.32,1319.632,25.75,4,8,0.0
663,Medium,F,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,2,12,0.0
664,Medium,F,M,1,68000.0,Y,44,6080.61,30,1520.1525,152.01525,4.5,5,13,0.0
665,High,F,M,2,50561.3,N,62,16601.66,113,8300.83,830.083,28.25,3,9,0.0
666,Low,F,S,2,23464.0,Y,55,22432.24,41,11216.12,1121.612,10.25,5,8,1121.612
667,High,F,M,2,194.57,N,41,28262.83,38,14131.415,1413.1415,9.5,3,7,0.0
668,Low,F,M,1,98680.4,Y,62,17581.76,8,8790.88,879.088,2.0,2,7,879.088
669,High,M,M,0,65619.7,Y,46,13561.36,144,6780.68,678.068,36.0,3,10,0.0
670,Medium,F,M,1,95620.3,Y,41,10911.09,93,5455.545,545.5545,23.25,1,6,0.0
671,Low,F,D,1,85275.0,N,70,22482.25,151,11241.125,1124.1125,37.75,3,6,1124.1125
672,Low,F,M,1,66921.4,Y,61,15701.57,8,7850.785,785.0785,2.0,2,7,785.0785
673,High,F,M,1,98453.6,Y,55,13721.37,11,6860.685,686.0685,2.75,3,7,0.0
674,High,F,M,2,94026.8,Y,28,25002.5,10,12501.25,1250.125,2.5,1,5,0.0
675,High,F,S,2,57420.0,Y,42,25182.52,252,12591.26,1259.126,63.0,3,7,0.0
676,Medium,M,M,0,80000.0,N,56,3930.39,26,982.5975,98.25975,3.9,4,11,0.0
103,High,F,M,0,77000.0,N,55,570.06,23,142.515,14.2515,3.45,4,17,0.0
104,Medium,F,M,0,14932.5,N,52,4910.49,6,1227.6225,122.76225,0.9,3,14,0.0
105,Medium,F,S,0,27498.1,N,42,2200.22,9,550.055,55.0055,1.35,3,11,0.0
106,High,F,M,2,21419.9,N,60,26392.64,103,13196.32,1319.632,25.75,3,6,0.0
107,High,F,M,2,30665.2,Y,23,5830.58,63,1457.645,145.7645,9.45,2,19,0.0
108,High,F,M,1,66000.0,Y,63,6080.61,30,1520.1525,152.01525,4.5,2,18,0.0
109,Low,F,M,2,50561.3,N,52,16601.66,113,8300.83,830.083,28.25,1,9,830.083
110,Low,F,S,2,23464.0,Y,70,22432.24,41,11216.12,1121.612,10.25,3,8,1121.612
111,Medium,F,M,2,194.57,N,42,28262.83,38,14131.415,1413.1415,9.5,3,10,0.0
112,Low,F,M,1,98680.4,Y,55,17581.76,8,8790.88,879.088,2.0,2,9,879.088
113,Low,M,M,1,65619.7,Y,46,13561.36,144,6780.68,678.068,36.0,5,10,678.068
